id,smiles,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0098,CCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,-1.351,-0.330174946,-0.731685408
de_cp_0099,CCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,-1.333,0.487284991,0.021845267
de_cp_0100,CCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,-1.326,-1.382961402,-1.444672771
de_cp_0101,CCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,-1.34,-0.160617351,-0.79431331
de_cp_0102,CCCCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,-1.335,-0.492034244,-0.383028685
de_cp_0103,CCCCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,-1.33,0.955114751,-0.397007786
de_cp_0104,CCCCCc0cc(F)c(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,-0.098,-1.023123219,0.25974818
de_cp_0105,CCCCCc0cc(F)c(C1COC(c2c(F)c(F)c(OCCCCCCCCC)cc2)OC1)cc0,-0.103,1.819156306,2.00858317
de_cp_0106,CCCC4CCC(C0CCC(c1ccc(OC(=O)CC[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,3.7,0.078068913,0.419565874
de_cp_0107,CCCCCc0ccc(c1ccc(OC(=O)C[C@]2C[C@@]2(C3CC3))cc1)cc0,3.7,-0.126183806,-0.261336336
de_cp_0108,CCCC4CCC(C0CCC(c1ccc(OC(=O)CCC[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,3.7,0.306461257,0.701230652
de_cp_0109,CCCC4CCC(C0CCC(c1ccc(OC(=O)C[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,-3.7,0.14778458,1.524367448
de_cp_0110,N#Cc0ccc(c1ccc(OC(=O)C[C@]2C[C@]2(C3CC3))cc1)cc0,10.3,14.38542237,15.67486252
de_cp_0111,CCCCCc0ccc(c1ccc(OC(=O)C[C@]2C[C@]2(C3CC3))cc1)cc0,3,0.436829175,1.549937014
de_cp_0112,CCCCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,8.4,8.502538061,8.316244731
de_cp_0113,CCCCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,9.5,12.26518413,9.016039855
de_cp_0114,CCCCCC0CCC(C1CCC(C(F)(F)Oc2ccc(S(F)(F)(F)(F)(F))cc2)CC1)CC0,11.8,,10.89506741
de_cp_0115,CCCCCC0CCC(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)CC0,19,25.35176361,19.06993646
de_cp_0116,CCCC0CCC(C1CCC(C(F)(F)Oc2ccc(C3CCC(CCC)CC3)cc2)CC1)CC0,-0.2,0.235678882,0.295684488
de_cp_0117,CCCC0CCC(C1CCC(C(F)(F)Oc2ccc(OC(F)(F)C3CCC(C4CCC(CCC)CC4)CC3)cc2)CC1)CC0,-2.1,0.135440037,0.069701361
de_cp_0118,CCC0CCC(C(F)(F)Oc1ccc(C#N)cc1)CC0,17,21.20654035,31.4952964
de_cp_0119,CCCCCC0CCC(C1CCC(C(F)(F)OCC(F)(F)(F))CC1)CC0,0.7,2.736106256,1.266470308
de_cp_0120,CCCC0CCC(C1CCC(C(F)(F)OCC([Cl])([Cl])([Cl]))CC1)CC0,1.2,,0.820846803
de_cp_0121,CCCc0cnc(c1ccc(OC(F)(F)[Cl])cc1)nc0,13.1,7.942436939,14.76002936
de_cp_0122,CCCCCc0cnc(c1ccc(OC(F)(F)[Cl])cc1)cc0,7.5,6.772285732,9.37187909
de_cp_0123,CCCC0CCC(C2CCC(c1ccc(OC(F)(F)[Cl])cc1)CC2)CC0,12.2,4.930187812,7.254441109
de_cp_0124,CCCCC2CCC(c0cnc(c1ccc(OC(F)(F)[Cl])cc1)cc0)CC2,13.8,5.063201794,7.647049896
de_cp_0125,CCCCCC0CCC(c1ccc(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)cc1)CC0,4.4,9.508751465,9.764921217
de_cp_0126,CCCC0CCC(C1CCC(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)CC1)CC0,10.3,5.873930494,4.593356317
de_cp_0127,CCCc1ccc(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)cc1,9.2,12.23719701,10.85439526
de_cp_0128,CCCc1ccc(C(=O)Oc2cc(F)c(OC(F)(F)[Cl])cc2)cc1,11.5,16.89181991,19.23316603
de_cp_0129,CCCCCC0CCC(c1ccc(C(F)(F)Oc2ccc(OC(F)(F)[Cl])cc2)cc1)CC0,6.2,5.587778428,4.165045795
de_cp_0130,CCCCC2CCC(c0cnc(c1ccc(OC(F)(F)[Cl])cc1)nc0)CC2,16.1,9.827008538,13.6240049
de_cp_0131,CCCC0Cc1ccc(c2ccc(CCC)cc2)nc1CC0,0.21,0.806877881,1.327368247
de_cp_0132,CCCC0Cc1ccc(c2ccc(OCCCCC)cc2)nc1CC0,-0.01,0.777527051,0.666102513
de_cp_0133,CCCC0Cc1ccc(c2ccc(OCCCCCC)cc2)nc1CC0,-0.02,0.544155234,0.618481842
de_cp_0134,CCCCCC0Cc1ccc(c2ccc(OCCCCCC)cc2)nc1CC0,-0.04,0.511360321,0.663776455
de_cp_0135,CCCCCc0ccc(c1ccc(OCCCCC)cc1)nc0,-0.65,0.553699273,0.43073061
de_cp_0136,CCCCCC0Cc1ccc(C=C(c2ccc(OCCCC)cc2))nc1CC0,0.01,0.696228953,0.862956088
de_cp_0137,CCC0CCC(c1ccc(c2ccc(CCC)cn2)cc1)CC0,-0.23,0.303351787,0.633290333
de_cp_0138,CCCC0CCC(c1ccc(c2ccc3CC(CCCC)CCc3n2)cc1)CC0,0.38,0.344849876,0.708407897
de_cp_0139,CCCCCC0CCC(c1ccc(c2ccc3CC(CCC)CCc3n2)cc1)CC0,0.3,0.499781567,0.969398132
de_cp_0140,CCCC0CCC(CCc1ccc(c2ccc(SC)cc2)cc1)CC0,2,0.286932487,0.403541777
de_cp_0141,CCCC0CCC(CCc1ccc(c2ccc(OC)cc2)cc1)CC0,1,,0.227798147
de_cp_0142,CCCC0CCC(CCc1ccc(c2ccc(C#N)cc2)cc1)CC0,13,13.49413622,30.20725094
de_cp_0143,CCCC0CCC(CCc1cc(F)c(c2ccc(SC)cc2)cc1)CC0,3,,1.090348982
de_cp_0144,CCCC0CCC(CCc1cc(F)c(c2ccc(OC)cc2)cc1)CC0,1,-0.986829716,-0.750935004
de_cp_0145,CCCC0CCC(CCc1cc(F)c(c2ccc([Cl])cc2)cc1)CC0,5,4.44396979,7.165663209
de_cp_0146,CCCC0CCC(CCc1cc(F)c(c2ccc(C#N)cc2)cc1)CC0,20,,32.45125225
de_cp_0147,CCCc0ccc(c1c(F)cc(c2ccc(SC)cc2)cc1)cc0,3,-0.883271248,-0.748184096
de_cp_0148,CCCc0ccc(c1c(F)cc(c2ccc(OC)cc2)cc1)cc0,2,0.907796259,1.627243002
