filename,smiles,reason,normal_termination,has_imag_freq,temperature_K,P2,kirkwood_g,density_kg_m3,iterations,converge_threshold,molecular_mass_amu,dipole_x_debye,dipole_y_debye,dipole_z_debye,dipole_debye,dipole_angle_deg,pol_iso_A3,pol_aniso_A3,delta_eps,eps_parallel,eps_perpendicular,eps_static,expde
de_cp_2767.log,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(O/C=C/C(F)(F))c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,632.1809,11.0637,-2.1339,0.9562,11.30810795,11.93398963,46.43283917,41.58869043,45.88128875,59.50124679,13.61995804,28.91372095,-6.5
de_cp_2775.log,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(O/C=C\C(F)(F))c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,464.215,5.6991,0.6251,0.3278,5.742642568,7.060143863,33.52767975,22.89294777,15.86508747,21.30858119,5.443493727,10.73185622,11
de_cp_2776.log,CCCC0CCC(c1c(F)c(F)c2Oc3c(F)c(OCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,452.1211,6.3959,-0.7523,1.1392,6.539974674,12.0488042,37.72856809,38.53877773,22.28477603,29.82219315,7.537417115,14.96567579,15.1
de_cp_2777.log,CCOc1c(F)c(F)c2Oc3c(F)c(C0CCC(CCC)CC0)ccc3Cc2c1,,TRUE,TRUE,298,0.6,1,1000,25,0.001,488.10226,8.022,-0.2406,-1.0459,8.093471392,7.620025875,38.36368776,37.4221873,32.31034645,41.68716598,9.376819529,20.14693501,12.6
de_cp_2778.log,CCCC0CCC(COc1c(F)c(F)c2Oc3c(F)c(OCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,468.17353,-6.9685,0.7505,-0.0877,7.009346174,6.188504259,32.60908273,23.21247732,23.73844457,30.93772248,7.199277915,15.11209277,-2.9
de_cp_2779.log,CCCC0CCC(COc1c(F)c(F)c2Oc3c(F)c(OCCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,498.10774,8.888,1.5972,-0.2352,9.033432951,10.29501563,34.94477013,28.97365858,36.77687856,47.64077218,10.86389362,23.12285314,8.43
de_cp_2780.log,CCCC0CCC(COc1c(F)c(F)c2Oc3c(F)c(CCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,540.2463,4.249,-1.1739,-2.0587,4.86521201,29.15049953,40.2094765,12.13257394,6.224763156,11.30373919,5.078976029,7.153897081,6.43
de_cp_2781.log,CCOc1c(F)c(F)c2Oc3c(F)c(OCC0CCC(CCC)CC0)ccc3Cc2c1,,TRUE,FALSE,298,0.6,1,1000,25,0.001,576.22746,-7.6511,-0.7525,-0.5982,7.71125351,7.161242009,42.92323249,28.35721288,23.85020186,31.23071431,7.380512453,15.33057974,-0.13
de_cp_2782.log,CCCCC0CCC(c1c(F)c(F)c2Oc3c(F)c(CCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,534.19935,-6.4009,-1.4646,1.0683,6.652656527,15.8128312,45.14407674,41.05007328,18.52889419,25.6888643,7.159970108,13.33626817,14.1
de_cp_2783.log,CCCC0COC(c1c(F)c(F)c2Oc3c(F)c(CCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,570.18051,-8.6422,0.3671,-1.5362,8.785345394,10.35710444,45.7744545,42.9673382,32.19060126,41.99069141,9.800090148,20.53029057,17.4
de_cp_2784.log,CCCC0OCC(c1c(F)c(F)c2Oc3c(F)c(CCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,582.12413,8.7673,0.5982,1.7923,8.968596982,12.16213079,48.77568883,53.74380089,33.1116183,43.48375226,10.37213396,21.40934006,23.9
de_cp_2785.log,CCCC0CCC(CCc1c(F)c(F)c2Oc3c(F)c(OCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,590.15035,-9.8905,0.8005,-0.9315,9.966467917,7.078778981,45.58230832,42.1449378,40.59623441,51.86379705,11.26756264,24.79964078,32.6
de_cp_2786.log,CCCCCC0CCC(COc1c(F)c(F)c2Oc3c(F)c(OCC)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,592.12961,10.7413,1.839,2.344,11.14682837,15.50237087,45.06899649,45.2922994,46.30487878,61.33211277,15.02723399,30.46219359,29.9
de_cp_2787.log,CCCCCC0CCC(COc1c(F)c(F)c2Oc3c(F)c(CCC=C)ccc3Cc2c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,482.20558,-5.4941,0.2848,0.5599,5.529894561,6.522622867,33.78641025,22.96556833,13.91636304,18.84558848,4.929225436,9.568013116,33.7
de_cp_2788.log,CCCC0CCC(C2CCC(C(F)(F)Oc4cc(F)c(OC=CC(F)(F)F)c(F)c4)CC2)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,546.14298,7.609,0.6702,-0.1195,7.639393254,5.112589084,47.9278747,54.78969357,27.54902238,35.60142704,8.052404655,17.23541212,19.6
de_cp_2789.log,CCCC0COC(c2cc(F)c(C(F)(F)Oc4cc(F)c(OC=CC(F)(F)F)c(F)c4)c(F)c2)OC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,382.05925,-1.9625,-1.1865,0.2803,2.310358541,31.84970221,32.61179945,41.54336451,2.317422037,5.020753987,2.70333195,3.475805962,27.6
de_cp_2790.log,CCCc0ccc(c2cc(F)c(C(F)(F)Oc4cc(F)c(OC=CC(F)(F)F)c(F)c4)c(F)c2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,378.08432,4.496,-1.0223,0.2802,4.619266752,13.26614137,33.84914178,41.93008128,13.45475738,18.74656938,5.291812002,9.776731128,21.8
de_cp_2791.log,CCCc0ccc(c2ccc(C(F)(F)Oc4cc(F)c(OC=CC(F)(F)F)c(F)c4)cc2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,392.09997,4.569,-1.0088,0.2168,4.684062412,12.7258291,35.17825984,42.63994654,13.41727546,18.66132285,5.244047386,9.71647254,27.2
de_cp_2792.log,CCCC0CCC(c2ccc(c4cc(F)c(C(F)(F)Oc6cc(F)c(OC=CC(F)(F)F)c(F)c6)c(F)c4)cc2)CC0,,TRUE,TRUE,298,0.6,1,1000,25,0.001,358.13446,-5.1014,0.6591,0.6851,5.189225065,10.5562592,32.75173521,35.47358174,18.79585505,25.3047642,6.508909156,12.77419417,39.2
de_cp_2793.log,CCCC0COC(c2cc(F)c(c4cc(F)c(C(F)(F)Oc6cc(F)c(OC=CC(F)(F)F)c(F)c6)c(F)c4)cc2)OC0,,TRUE,TRUE,298,0.6,1,1000,25,0.001,344.11881,-5.0072,-1.1414,-0.4415,5.154587088,13.73443208,31.48673173,34.95833906,18.68467559,25.54556959,6.860893999,13.0891192,37.4
de_cp_2794.log,CCCc0ccc(c2cc(F)c(c4cc(F)c(C(F)(F)Oc6cc(F)c(OC=CC(F)(F)F)c(F)c6)c(F)c4)cc2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,404.27267,1.922,1.9586,-0.6415,2.818105784,46.99842995,33.03669441,15.80892304,1.050593352,4.838162386,3.787569034,4.137766818,41.7
de_cp_2795.log,CCCCc0cc(F)c(c2cc(F)c(c4cc(F)c(C(F)(F)Oc6cc(F)c(OC=CC(F)(F)F)c(F)c6)c(F)c4)c(F)c2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,460.33527,2.3996,1.4444,-0.9026,2.942627785,35.36696926,37.93652063,20.69369013,2.176943827,5.496077016,3.319133189,4.044781131,13.2
de_cp_2796.log,CCCC0CCC(c2ccc(c4cc(F)c(C(F)(F)Oc6cc(F)c(O/C=C\C(F)(F)F)c(F)c6)c(F)c4)cc2)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,418.28832,2.5671,2.0975,0.8057,3.411548204,41.19489347,34.43190285,18.0816682,2.369027346,6.850011869,4.480984523,5.270660305,29.2
de_cp_2797.log,CCCc0ccc(c2cc(F)c(c4cc(F)c(C(F)(F)Oc6cc(F)c(O/C=C\C(F)(F)F)c(F)c6)c(F)c4)cc2)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,322.19442,2.4224,-0.6121,-1.3083,2.820343429,30.8064228,26.18705377,17.39512766,3.476179512,7.123298175,3.647118663,4.805845167,
de_cp_2798.log,CCCC0CCC(C2CCC(C(F)(F)Oc4cc(F)c(O/C=C\C(F)(F)F)c(F)c4)CC2)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,240.11617,-2.6041,-0.2146,1.1277,2.845891294,23.7888099,19.11365421,16.07915372,5.94492543,9.952647256,4.007721826,5.989363636,22.1
de_cp_2799.log,CCCC0COC(c2cc(F)c(c4cc(F)c(C(F)(F)Oc6cc(F)c(O/C=C\C(F)(F)F)c(F)c6)c(F)c4)cc2)OC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,296.17877,-2.3975,-0.6579,-1.3919,2.849249773,32.7064912,23.95129226,16.70367306,3.629390085,7.58430942,3.954919335,5.16471603,21.1
de_cp_2800.log,CCCc0ccc(c1c(F)c(F)c(OC=CC)cc1)cc0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,460.25892,-2.3676,5.2185,1.8276,6.014847776,66.81969616,37.72708624,22.13482239,-4.629253736,9.420172116,14.04942585,12.50634127,20.1
de_cp_2801.log,C=CC0CCC(C1CCC(c2c(F)c(F)c(OC=CC)cc2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,496.24007,-2.1929,3.4536,-0.9884,4.208693138,58.59792116,37.54763456,17.90511942,-0.430726043,5.818780421,6.249506464,6.105931116,22.2
de_cp_2802.log,CCCC0CCC(C1CCC(COc2c(F)c(F)c(OC=CC)cc2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,454.21197,-3.1666,2.3056,-0.1033,3.9183948,36.0856869,39.07438163,28.49906808,4.07255062,8.968675553,4.896124933,6.253641806,-15.3
de_cp_2803.log,CCCC0CCC(COc1c(F)c(F)c(OC=CC)cc1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,272.1224,1.608,-3.1706,-0.5379,3.595511754,63.43426715,20.25077428,15.79911721,-1.620282704,6.574911248,8.195193952,7.655099717,-15.6
de_cp_2804.log,CCCCC0COC(c2cc(F)c(C(F)(F)Oc4cc(F)c(C6COC(c8cc(F)c(F)c(F)c8)OC6)cc4)c(F)c2)OC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,390.29341,0.1365,-0.3376,0.9165,0.986193825,82.04409622,32.44593136,17.64021974,0.083646428,2.106788726,2.023142298,2.051024441,-11.8
de_cp_2805.log,c0c(COCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc(COCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1)cc0(COCCCCCCOc1ccc(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)cc1),,TRUE,FALSE,298,0.6,1,1000,25,0.001,406.28832,-0.1576,-1.1421,0.7961,1.401072939,83.54140237,32.91552871,18.93972156,-0.096899272,2.211206037,2.308105309,2.275805551,-20.1
