filename,smiles,reason,T_K,P2,kirk_g,density_kg_m3,iterations,converge,molar_mass_g_mol,energy_Eh,mu_x_D,mu_y_D,mu_z_D,mu_mag_D,mu_angle_x_deg,pol_iso_A3,pol_aniso_A3,delta_eps,eps_parallel,eps_perpendicular,eps_static,dip_angle_longaxis_deg,expde
de_cp_0631.property.txt,CCCC0CCC(C1CCC(c2c(F)c(F)c(OCCC)cc2)CC1)CC0,,298,0.6,1,1000,25,0.001,378.273421,-1210.900046,-0.31333425,-2.327270946,-2.481727536,3.416626988,95.26191214,41.70992754,26.81295586,-2.386458437,3.935627274,6.32208571,5.526599565,86.14291286,3
de_cp_0632.property.txt,CCCC0CCC(C1CCC(c2c(F)c(F)c3OC(C)Cc3c2)CC1)CC0,,298,0.6,1,1000,25,0.001,376.257771,-1209.706627,-0.668599797,0.41283105,-4.086636298,4.161496293,99.24539958,40.74170776,23.65642364,-3.996413043,4.633075329,8.629488371,7.297350691,86.27156369,2.8
de_cp_0633.property.txt,CCCC0CCC(c1c(F)c(F)c(OCCC)cc1)CC0,,298,0.6,1,1000,25,0.001,296.195171,-976.2875749,0.171899953,-0.196460405,1.449013433,1.472340387,83.29526223,31.61738648,19.63350477,-0.067455314,2.725130337,2.792585651,2.770100547,104.8085784,29.7
de_cp_0634.property.txt,CCCC0CCC(C1C(F)(F)c2c(F)cccc2C1)CC0,,298,0.6,1,1000,25,0.001,296.175184,-999.151995,-0.016805611,-3.363051004,1.310250826,3.609314577,90.26678031,29.67024926,16.32070349,-3.802059236,4.302161676,8.104220912,6.836867833,90.73085379,5.8
de_cp_0635.property.txt,CCCC0CCC(C1C(F)(F)c2c(F)c(F)ccc2C1)CC0,,298,0.6,1,1000,25,0.001,314.165762,-1098.387814,1.266871461,3.192109075,-2.652510496,4.339393457,73.0254638,29.84018109,16.0883188,-3.958721857,5.921687569,9.880409426,8.560835473,106.866392,6.8
de_cp_0636.property.txt,CCCC0CCC(C1C(F)(F)c2c(F)c(F)c(C)cc2C1)CC0,,298,0.6,1,1000,25,0.001,328.181412,-1137.695085,-0.52582583,3.008897957,-3.280112989,4.482086672,96.73729536,31.98527391,18.71582756,-5.366988874,5.209951016,10.57693989,8.787943599,84.20788146,7.7
de_cp_0637.property.txt,CCC0CCC(c1ccc(c2c(F)c(F)c(OCC)cc2)cc1)CC0,,298,0.6,1,1000,25,0.001,344.195171,-1128.688621,0.170139364,-3.227938662,1.349394822,3.502770588,87.21588824,40.32673254,31.13460385,-2.838725225,4.375700619,7.214425844,6.268184102,88.70650624,6.6
de_cp_0638.property.txt,CCCC0CCC(c1ccc(c2c(F)c(F)c(OCC)cc2)cc1)CC0,,298,0.6,1,1000,25,0.001,358.210821,-1167.991381,0.21824321,0.294466301,3.589241165,3.607906961,86.53204661,42.43459612,35.67390729,-2.843056554,4.490294841,7.333351395,6.385665877,87.46888943,7.9
de_cp_0639.property.txt,CCCCCC0CCC(c1ccc(c2c(F)c(F)c(OCC)cc2)cc1)CC0,,298,0.6,1,1000,25,0.001,386.242121,-1246.590721,-0.11559292,3.492847082,-0.044379505,3.495041059,91.89531234,45.93127437,36.92403195,-2.391422092,4.223972241,6.615394333,5.818253635,91.30571809,9.9
de_cp_0640.property.txt,C=CC0CCC(c1ccc(c2c(F)c(F)c(OCC)cc2)cc1)CC0,,298,0.6,1,1000,25,0.001,342.179521,-1127.459115,1.184205638,-3.026793864,1.884764183,3.75714787,71.62787316,40.63143979,33.57930973,-2.296372698,5.46876431,7.765137008,6.999679442,107.4387512,6.3
