id,xyz_file,smiles,name,status,reason,ff_used,min_energy_kcal,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0069,de_cp_0069.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CC)cc2)c(F)c1)CC0,,ok,ok,mmff,58.664678,2.92,1.430145503,1.536310731
de_cp_0070,de_cp_0070.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCC)cc2)c(F)c1)CC0,,ok,ok,mmff,58.55426,2.86,1.406778981,1.451133068
de_cp_0071,de_cp_0071.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,58.427041,2.51,1.186222116,1.049276468
de_cp_0072,de_cp_0072.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(CCCCC)cc2)c(F)c1)CC0,,ok,ok,mmff,60.123779,2.27,1.153954043,1.118127597
de_cp_0073,de_cp_0073.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(OC)cc2)c(F)c1)CC0,,ok,ok,mmff,60.024671,2.22,0.730288838,0.527012081
de_cp_0074,de_cp_0074.xyz,C=CCCC0CCC(c1cc(F)c(C#Cc2ccc(F)cc2)c(F)c1)CC0,,ok,ok,mmff,53.637031,7.47,7.085146673,5.367863357
de_cp_0075,de_cp_0075.xyz,CCCC0CCC(C1CCC(C(=O)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,43.786508,11.1,14.50482778,9.441332025
de_cp_0076,de_cp_0076.xyz,CCCC0CCC(C1COC(CCC)CC1)CC0,,ok,ok,mmff,27.043344,-0.5,-0.07411914,0.12594068
de_cp_0077,de_cp_0077.xyz,CCCC0CCC(C1COC(c2ccc(C(F)(F)(F))cc2)CC1)CC0,,ok,ok,mmff,73.986946,13.2,14.99976799,13.4952648
de_cp_0078,de_cp_0078.xyz,CCCC0CCC(C1COC(c2ccc(OC(F)(F)(F))cc2)CC1)CC0,,ok,ok,mmff,51.775506,6.7,8.459130334,8.088549168
de_cp_0079,de_cp_0079.xyz,CCCC0CCC(C1COC(c2ccc(CCC)cc2)CC1)CC0,,ok,ok,mmff,48.660751,4.7,0.299343975,0.495511343
de_cp_0080,de_cp_0080.xyz,CCCC0COC(C1COC(CCC)CC1)OC0,,ok,ok,mmff,-3.183231,3.6,4.358872162,4.935029509
de_cp_0081,de_cp_0081.xyz,CCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,,ok,ok,mmff,71.692894,-4.43,-0.861526967,-0.393787445
de_cp_0082,de_cp_0082.xyz,CCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCCCC)cc2)cc1)CC0,,ok,ok,mmff,72.437587,-5.56,-0.861595368,-0.382212521
de_cp_0083,de_cp_0083.xyz,CCCCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,,ok,ok,mmff,71.832046,-4.43,-0.695030833,-0.240724719
de_cp_0084,de_cp_0084.xyz,CCCCCC0CCC(c1c(F)c(F)c(c2c(F)c(F)c(CCCCC)cc2)cc1)CC0,,ok,ok,mmff,73.008887,-5.3,-0.423615062,0.094308995
de_cp_0085,de_cp_0085.xyz,CCCC0CCC(C(=O)Oc1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,,ok,ok,mmff,76.593084,-3.83,-0.766998135,-1.410180247
de_cp_0086,de_cp_0086.xyz,CCCCCC0CCC(C(=O)Oc1c(F)c(F)c(c2c(F)c(F)c(CCC)cc2)cc1)CC0,,ok,ok,mmff,77.325523,-3.43,0.647218822,0.238527461
de_cp_0087,de_cp_0087.xyz,CCCC0CCC(c3ccc(c1c(F)c(F)c(c2c(F)c(F)ccc2)cc1)cc3)CC0,,ok,ok,mmff,96.150326,-5.56,0.128487905,1.333415971
de_cp_0088,de_cp_0088.xyz,CCC(C0CCC(C1CCC(c2ccc(OCCC)c(F)c(F)2)CC1)CC0),,ok,ok,mmff,61.434483,-5.4,-3.631245699,-2.535860909
de_cp_0089,de_cp_0089.xyz,CCCC0CCC(C1CCC(c2c(F)c(F)c3CC(C)Oc3c2)CC1)CC0,,ok,ok,mmff,57.561583,-6.7,-0.420129436,-0.183847049
de_cp_0090,de_cp_0090.xyz,CCCC0CCC(C1Cc2cccc(F)c2C(F)(F)1)CC0,,ok,ok,mmff,37.73189,-7.1,-4.892545053,-3.639119457
de_cp_0091,de_cp_0091.xyz,CCCC0CCC(c1ccc(OCC)c(F)c(F)1)CC0,,ok,ok,mmff,49.172821,-5.4,-5.302127175,-4.040037108
de_cp_0092,de_cp_0092.xyz,CCCC0CCC(C1Cc2ccc(F)c(F)c2C(F)(F)1)CC0,,ok,ok,mmff,43.579927,-8.6,-2.968737698,-1.537260064
de_cp_0093,de_cp_0093.xyz,CCCC0CCC(C1Cc2cc(C)c(F)c(F)c2C(F)(F)1)CC0,,ok,ok,mmff,44.235656,-9.9,-5.852258861,-4.803738762
de_cp_0094,de_cp_0094.xyz,CCCC0CCC1CC(c2cc(F)c(F)cc2)CCC1C0,,ok,ok,mmff,46.62592,5.4,3.154474512,3.994095413
de_cp_0095,de_cp_0095.xyz,CCCC3CCC(C0CCC1CC(c2cc(F)c(F)cc2)CCC1C0)CC3,,ok,ok,mmff,65.405482,5.7,4.489217974,4.690337922
de_cp_0096,de_cp_0096.xyz,CCCC0CCC(C1CCc2c(F)c(F)ccc2C1)CC0,,ok,ok,mmff,44.670664,7.4,6.759800638,7.146483948
de_cp_0097,de_cp_0097.xyz,CCCC3CCC(C4CCC(CCC0CCC(C1CCc2c(F)c(F)ccc2C1)CC0)CC4)CC3,,ok,ok,mmff,73.493773,9.7,3.932631957,2.806367752
de_cp_0098,de_cp_0098.xyz,CCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,,ok,ok,mmff,54.435635,-1.351,-0.330174946,-0.768383879
de_cp_0099,de_cp_0099.xyz,CCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,,ok,ok,mmff,54.762559,-1.333,0.487284991,0.178723155
de_cp_0100,de_cp_0100.xyz,CCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,,ok,ok,mmff,54.556647,-1.326,-1.382961402,-1.491295683
de_cp_0101,de_cp_0101.xyz,CCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,,ok,ok,mmff,56.206565,-1.34,-0.160617351,-0.850534718
de_cp_0102,de_cp_0102.xyz,CCCCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCC)cc2)OC1)cc0,,ok,ok,mmff,55.259337,-1.335,-0.492034244,-0.315730672
de_cp_0103,de_cp_0103.xyz,CCCCCCCCCc0ccc(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,,ok,ok,mmff,56.477769,-1.33,0.955114751,-0.690247984
de_cp_0104,de_cp_0104.xyz,CCCCCc0cc(F)c(C1COC(c2c(F)c(F)c(OCCCCCCCC)cc2)OC1)cc0,,ok,ok,mmff,51.778314,-0.098,-1.023123219,0.331982752
de_cp_0105,de_cp_0105.xyz,CCCCCc0cc(F)c(C1COC(c2c(F)c(F)c(OCCCCCCCCC)cc2)OC1)cc0,,ok,ok,mmff,51.361324,-0.103,1.819156306,1.756089113
de_cp_0106,de_cp_0106.xyz,CCCC4CCC(C0CCC(c1ccc(OC(=O)CC[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,,ok,ok,mmff,72.026848,3.7,0.078068913,0.211586993
de_cp_0107,de_cp_0107.xyz,CCCCCc0ccc(c1ccc(OC(=O)C[C@]2C[C@@]2(C3CC3))cc1)cc0,,ok,ok,mmff,88.937312,3.7,-0.126183806,-0.268799652
de_cp_0108,de_cp_0108.xyz,CCCC4CCC(C0CCC(c1ccc(OC(=O)CCC[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,,ok,ok,mmff,79.645897,3.7,0.306461257,0.536119941
de_cp_0109,de_cp_0109.xyz,CCCC4CCC(C0CCC(c1ccc(OC(=O)C[C@]2C[C@@]2(C3CC3))cc1)CC0)CC4,,ok,ok,mmff,92.988548,-3.7,0.14778458,1.613343862
de_cp_0110,de_cp_0110.xyz,N#Cc0ccc(c1ccc(OC(=O)C[C@]2C[C@]2(C3CC3))cc1)cc0,,ok,ok,mmff,100.621227,10.3,14.38542237,13.16778763
de_cp_0111,de_cp_0111.xyz,CCCCCc0ccc(c1ccc(OC(=O)C[C@]2C[C@]2(C3CC3))cc1)cc0,,ok,ok,mmff,88.710584,3,0.436829175,1.648219728
de_cp_0112,de_cp_0112.xyz,CCCCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,48.464522,8.4,8.502538061,8.295503115
de_cp_0113,de_cp_0113.xyz,CCCCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,44.604637,9.5,12.26518413,8.934090185
de_cp_0114,de_cp_0114.xyz,CCCCCC0CCC(C1CCC(C(F)(F)Oc2ccc(S(F)(F)(F)(F)(F))cc2)CC1)CC0,,ok,ok,uff,46.024306,11.8,,11.211194
de_cp_0115,de_cp_0115.xyz,CCCCCC0CCC(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)CC0,,ok,ok,mmff,23.265985,19,25.35176361,19.02594791
de_cp_0116,de_cp_0116.xyz,CCCC0CCC(C1CCC(C(F)(F)Oc2ccc(C3CCC(CCC)CC3)cc2)CC1)CC0,,ok,ok,mmff,63.311696,-0.2,0.235678882,0.295809498
de_cp_0117,de_cp_0117.xyz,CCCC0CCC(C1CCC(C(F)(F)Oc2ccc(OC(F)(F)C3CCC(C4CCC(CCC)CC4)CC3)cc2)CC1)CC0,,ok,ok,mmff,90.429775,-2.1,0.135440037,0.054888829
de_cp_0118,de_cp_0118.xyz,CCC0CCC(C(F)(F)Oc1ccc(C#N)cc1)CC0,,ok,ok,mmff,45.641266,17,21.20654035,31.55543565
de_cp_0119,de_cp_0119.xyz,CCCCCC0CCC(C1CCC(C(F)(F)OCC(F)(F)(F))CC1)CC0,,ok,ok,mmff,43.809679,0.7,2.736106256,1.416114182
de_cp_0120,de_cp_0120.xyz,CCCC0CCC(C1CCC(C(F)(F)OCC([Cl])([Cl])([Cl]))CC1)CC0,,ok,ok,mmff,47.077986,1.2,,1.035514686
de_cp_0121,de_cp_0121.xyz,CCCc0cnc(c1ccc(OC(F)(F)[Cl])cc1)nc0,,ok,ok,mmff,27.345321,13.1,7.942436939,14.84927467
de_cp_0122,de_cp_0122.xyz,CCCCCc0cnc(c1ccc(OC(F)(F)[Cl])cc1)cc0,,ok,ok,mmff,47.502202,7.5,6.772285732,9.781170044
de_cp_0123,de_cp_0123.xyz,CCCC0CCC(C2CCC(c1ccc(OC(F)(F)[Cl])cc1)CC2)CC0,,ok,ok,mmff,47.972824,12.2,4.930187812,7.268801816
de_cp_0124,de_cp_0124.xyz,CCCCC2CCC(c0cnc(c1ccc(OC(F)(F)[Cl])cc1)cc0)CC2,,ok,ok,mmff,59.855516,13.8,5.063201794,7.596596217
de_cp_0125,de_cp_0125.xyz,CCCCCC0CCC(c1ccc(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)cc1)CC0,,ok,ok,mmff,80.81858,4.4,9.508751465,9.761381206
de_cp_0126,de_cp_0126.xyz,CCCC0CCC(C1CCC(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)CC1)CC0,,ok,ok,mmff,50.186925,10.3,5.873930494,4.72357227
de_cp_0127,de_cp_0127.xyz,CCCc1ccc(C(=O)Oc2ccc(OC(F)(F)[Cl])cc2)cc1,,ok,ok,mmff,69.339989,9.2,12.23719701,10.83218783
de_cp_0128,de_cp_0128.xyz,CCCc1ccc(C(=O)Oc2cc(F)c(OC(F)(F)[Cl])cc2)cc1,,ok,ok,mmff,68.608052,11.5,16.89181991,19.23835948
de_cp_0129,de_cp_0129.xyz,CCCCCC0CCC(c1ccc(C(F)(F)Oc2ccc(OC(F)(F)[Cl])cc2)cc1)CC0,,ok,ok,mmff,80.377142,6.2,5.587778428,4.104610285
de_cp_0130,de_cp_0130.xyz,CCCCC2CCC(c0cnc(c1ccc(OC(F)(F)[Cl])cc1)nc0)CC2,,ok,ok,mmff,38.678054,16.1,9.827008538,13.57387069
de_cp_0131,de_cp_0131.xyz,CCCC0Cc1ccc(c2ccc(CCC)cc2)nc1CC0,,ok,ok,mmff,52.250719,0.21,0.806877881,1.284677759
de_cp_0132,de_cp_0132.xyz,CCCC0Cc1ccc(c2ccc(OCCCCC)cc2)nc1CC0,,ok,ok,mmff,51.597861,-0.01,0.777527051,0.674976756
de_cp_0133,de_cp_0133.xyz,CCCC0Cc1ccc(c2ccc(OCCCCCC)cc2)nc1CC0,,ok,ok,mmff,51.888509,-0.02,0.544155234,0.609006952
de_cp_0134,de_cp_0134.xyz,CCCCCC0Cc1ccc(c2ccc(OCCCCCC)cc2)nc1CC0,,ok,ok,mmff,52.589194,-0.04,0.511360321,0.646419477
de_cp_0135,de_cp_0135.xyz,CCCCCc0ccc(c1ccc(OCCCCC)cc1)nc0,,ok,ok,mmff,44.238314,-0.65,0.553699273,0.423767184
de_cp_0136,de_cp_0136.xyz,CCCCCC0Cc1ccc(C=C(c2ccc(OCCCC)cc2))nc1CC0,,ok,ok,mmff,41.169426,0.01,0.696228953,0.836360569
de_cp_0137,de_cp_0137.xyz,CCC0CCC(c1ccc(c2ccc(CCC)cn2)cc1)CC0,,ok,ok,mmff,56.867363,-0.23,0.303351787,0.660079088
de_cp_0138,de_cp_0138.xyz,CCCC0CCC(c1ccc(c2ccc3CC(CCCC)CCc3n2)cc1)CC0,,ok,ok,mmff,64.827718,0.38,0.344849876,0.681942198
